TYPE,L1,LOCATION,SEAT,IS_HARBOR,Q_AUTO,Q_NON_AUTO,STOP_LOCATION,IS_BUS
广州路平峰,location1,DJI0019,1,0,768,888,-1,0
广州路高峰,location2,DJI005,1,0,780,1668,-1,0
广州路高峰,location3,DJI006,1,0,840,1590,-1,0
广州路高峰,location4,DJI002,1,0,660,1470,-1,0
广州路平峰,location5,DJI020,1,0,840,1140,-1,0
西安门平峰,location6,DJI010,3,0,1158,1038,-1,0
西安门平峰,location7,DJI012,3,0,1350,1368,-1,0
西安门高峰,location8,DJI006,3,0,900,1458,-1,0
西安门高峰,location9,DJI007,3,0,1770,1290,-1,0
西安门高峰,location10,DJI008,3,0,618,618,-1,0
商城高峰,location11,DJI1,2,0,960,558,0,0
商城高峰,location12,DJI2,2,0,810,768,0,0
商城高峰,location13,DJI3,2,0,1098,708,0,0
内桥平峰,location14,DJI22,1,0,1110,798,-1,0
内桥高峰,location15,DJI0003,1,0,1380,780,-1,0
广州路平峰,location16,DJI018,1,0,624,1032,-1,1
西安门平峰,location17,DJI011,3,0,1398,1236,-1,1
内桥平峰,location18,DJI21,1,0,1008,1230,-1,1
