TYPE,L1,LOCATION,SERVICE_TIME,SEAT,IS_HARBOR,Q_AUTO,Q_NON_AUTO,STOP_LOCATION,IS_BUS
广州路平峰,location1,DJI0019,0,1,0,128,148,-1,0
广州路高峰,location2,DJI005,0,1,0,130,278,-1,0
广州路高峰,location3,DJI006,0,1,0,140,265,-1,0
广州路高峰,location4,DJI002,0,1,0,110,245,-1,0
广州路平峰,location5,DJI020,0,1,0,140,190,-1,0
西安门平峰,location6,DJI010,0,3,0,193,173,-1,0
西安门平峰,location7,DJI012,0,3,0,225,228,-1,0
西安门高峰,location8,DJI006,0,3,0,150,243,-1,0
西安门高峰,location9,DJI007,0,3,0,295,215,-1,0
西安门高峰,location10,DJI008,0,3,0,103,103,-1,0
商城高峰,location11,DJI1,0,2,0,160,93,0,0
商城高峰,location12,DJI2,0,2,0,135,128,0,0
商城高峰,location13,DJI3,0,2,0,183,118,0,0
内桥平峰,location14,DJI22,0,1,0,185,133,-1,0
内桥高峰,location15,DJI0003,0,1,0,230,130,-1,0
广州路平峰,location16,DJI018,31.922,1,0,104,172,-1,1
西安门平峰,location17,DJI011,12.975,3,0,233,206,-1,1
内桥平峰,location18,DJI21,11.613,1,0,168,205,-1,1
